"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-055 Walby" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"11-055 Walby" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,577 
"11-055 Walby" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,40 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1751 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,696 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,136 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,39 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,482 
"11-060 Greater Palmer" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1009 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,424 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,80 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,10 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,295 
"11-065 Mat-Su Campus" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2446 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,750 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,184 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,62 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,443 
"11-070 Palmer City No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,31 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1945 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,732 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,159 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,7 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,64 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,14 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,458 
"11-075 Palmer City No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"11-085 Trunk" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-085 Trunk" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-085 Trunk" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1558 
"11-085 Trunk" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,620 
"11-085 Trunk" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"11-085 Trunk" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,107 
"11-085 Trunk" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"11-085 Trunk" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"11-085 Trunk" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"11-085 Trunk" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,433 
"11-085 Trunk" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,17 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1094 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,411 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,66 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,19 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,3 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,296 
"11-090 Seward Meridian" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1629 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,736 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,150 
"11-095 Springer Loop" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,42 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,3 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,507 
"11-095 Springer Loop" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,21 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1119 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,563 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,140 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,21 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,365 
"11-099 Lazy Mountain" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1233 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,441 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,57 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,30 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,336 
"12-200 Fairview No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,8 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1409 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,553 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,95 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,2 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,405 
"12-205 Fairview No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2330 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,912 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,117 
"12-210 Snowshoe" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,53 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,704 
"12-210 Snowshoe" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"12-220 Butte" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-220 Butte" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-220 Butte" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3170 
"12-220 Butte" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1374 
"12-220 Butte" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,14 
"12-220 Butte" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,250 
"12-220 Butte" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,6 
"12-220 Butte" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,74 
"12-220 Butte" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,25 
"12-220 Butte" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,955 
"12-220 Butte" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,38 
"12-225 Eklutna" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-225 Eklutna" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-225 Eklutna" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1933 
"12-225 Eklutna" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,746 
"12-225 Eklutna" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,11 
"12-225 Eklutna" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,191 
"12-225 Eklutna" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"12-225 Eklutna" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,56 
"12-225 Eklutna" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"12-225 Eklutna" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,454 
"12-225 Eklutna" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2665 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1148 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,12 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,228 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,6 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,79 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,767 
"12-230 Peters Creek No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,42 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1519 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,544 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,111 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,31 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,367 
"12-233 Peters Creek No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,13 
"13-235 Chugiak" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-235 Chugiak" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-235 Chugiak" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1203 
"13-235 Chugiak" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,549 
"13-235 Chugiak" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"13-235 Chugiak" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,111 
"13-235 Chugiak" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"13-235 Chugiak" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,30 
"13-235 Chugiak" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"13-235 Chugiak" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,373 
"13-235 Chugiak" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,19 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2179 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,874 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,205 
"13-240 Fire Lake" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,57 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,557 
"13-240 Fire Lake" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,30 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,3934 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,564 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,139 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,66 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,4 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,332 
"13-245 JBER No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2969 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,1025 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,13 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,248 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,89 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,14 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,634 
"13-250 Downtown Eagle River No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,22 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1591 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,730 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,175 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,46 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,458 
"13-255 Chugach Park No. 1" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,25 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,309 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,133 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,74 
"13-260 Centennial Park" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,3 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,48 
"13-260 Centennial Park" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,2 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,2153 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,866 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,15 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,229 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,6 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,48 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,526 
"14-940 Downtown Eagle River No. 2" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,26 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,1350 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,646 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,10 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,162 
"14-945 Meadow Creek No. 1" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
